"ID_DEPARTAMENTO","DEPARTAMENTO","ID_MUNICIPIO","MUNICIPIO","Latitud","Longitud","LOCALIDAD","Solar_radiation_promedio","Wind_promedio","consumo_energia_promedio","tipo_cultivo","Desecho_Ton_promedio"
"0","CAUCA","19809","TIMBIQUÍ","2.702","-77.495","CHACÓN (TIMBIQUÍ - CAUCA)","15190.25","1.10833334922791","4366.000000","BANANO","26.981429168156215"
"5","ANTIOQUIA","5873","VIGIA DEL FUERTE","6.456","-76.699","LA PLAYA MURRI  (VIGÍA DEL FUERTE - ANTIOQUIA)","17067.9921875","0.7583333253860473","8547.375000","PALMA DE ACEITE","223.7033000588417"
"5","ANTIOQUIA","5873","VIGIA DEL FUERTE","6.456","-76.699","LOMA MURRI (VIGÍA DEL FUERTE - ANTIOQUIA)","17067.9921875","0.7583333253860473","9954.875000","PALMA DE ACEITE","223.7033000588417"
"5","ANTIOQUIA","5873","VIGIA DEL FUERTE","6.456","-76.699","SAN ANTONIO DE PADUA (VIGÍA DEL FUERTE - ANTIOQUIA)","17067.9921875","0.7583333253860473","6290.066667","PALMA DE ACEITE","223.7033000588417"
"5","ANTIOQUIA","5873","VIGIA DEL FUERTE","6.456","-76.699","VEGAEZ (VIGÍA DEL FUERTE - ANTIOQUIA)","17067.9921875","0.7583333253860473","4986.325581","PALMA DE ACEITE","223.7033000588417"
"5","ANTIOQUIA","5873","VIGIA DEL FUERTE","6.456","-76.699","VIGÍA DEL FUERTE (VIGÍA DEL FUERTE - ANTIOQUIA)","17067.9921875","0.7583333253860473","124249.571429","PALMA DE ACEITE","223.7033000588417"
"13","BOLÍVAR","13001","CARTAGENA DE INDIAS","10.446","-75.467","ISLA FUERTE (CARTAGENA - BOLIVAR)","19383.68359375","3.5833332538604727","79594.500000","PALMA DE ACEITE","173.5878700017929"
"13","BOLÍVAR","13001","CARTAGENA DE INDIAS","10.446","-75.467","ISLA FUERTE (CARTAGENA DE INDIAS - BOLÍVAR)","19383.68359375","3.583333253860473","53001.867925","PALMA DE ACEITE","173.5878700017929"
"13","BOLÍVAR","13001","CARTAGENA DE INDIAS","10.446","-75.467","ISLA MUCURA (CARTAGENA - BOLIVAR)","19383.68359375","3.583333253860473","9628.750000","PALMA DE ACEITE","173.5878700017929"
"13","BOLÍVAR","13001","CARTAGENA DE INDIAS","10.446","-75.467","ISLA MUCURA (CARTAGENA DE INDIAS - BOLÍVAR)","19383.68359375","3.583333253860473","8811.044444","PALMA DE ACEITE","173.5878700017929"
"13","BOLÍVAR","13001","CARTAGENA DE INDIAS","10.446","-75.467","SANTA CRUZ DEL ISLOTE (CARTAGENA - BOLIVAR)","19383.68359375","3.583333253860473","17683.500000","PALMA DE ACEITE","173.5878700017929"
"13","BOLÍVAR","13001","CARTAGENA DE INDIAS","10.446","-75.467","SANTA CRUZ DEL ISLOTE (CARTAGENA DE INDIAS - BOLÍVAR)","19383.68359375","3.583333253860473","15682.418605","PALMA DE ACEITE","173.5878700017929"
"18","CAQUETÁ","18150","CARTAGENA DEL CHAIRÁ","0.649","-74.274","REMOLINO DEL CAGUAN (CARTAGENA DEL CHAIRA - CAQUETÁ)","14565.908203125","0.8416666388511659","23111.928571","PALMA DE ACEITE","799.8934338018298"
"18","CAQUETÁ","18150","CARTAGENA DEL CHAIRÁ","0.649","-74.274","SANTA FE DEL CAGUAN (CARTAGENA DEL CHAIRA - CAQUETÁ)","14565.908203125","0.8416666388511659","5410.925926","PALMA DE ACEITE","799.8934338018298"
"18","CAQUETÁ","18753","SAN VICENTE DEL CAGUÁN","1.569","-74.264","GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ)","15415.25","0.8833333253860473","15541.362069","PALMA DE ACEITE","799.8934338018298"
"18","CAQUETÁ","18753","SAN VICENTE DEL CAGUÁN","1.569","-74.264","GUAYABAL (SAN VICENTE DEL CAGUÁN - CAQUETÁ)","15415.25","0.8833333253860473","8908.916667","PALMA DE ACEITE","799.8934338018298"
"18","CAQUETÁ","18753","SAN VICENTE DEL CAGUÁN","1.569","-74.264","PUERTO BETANIA (SAN VICENTE DEL CAGUÁN - CAQUETÁ)","15415.25","0.8833333253860473","6483.377778","PALMA DE ACEITE","799.8934338018298"
"18","CAQUETÁ","18753","SAN VICENTE DEL CAGUÁN","1.569","-74.264","VILLA LOBOS (SAN VICENTE DEL CAGUÁN - CAQUETÁ)","15415.25","0.8833333253860471","18465.400000","PALMA DE ACEITE","799.8934338018298"
"19","CAUCA","19318","GUAPI","2.416","-77.694","LIMONES (GUAPI - CAUCA)","15018.75","1.083333373069763","11823.937500","PALMA DE ACEITE","369.42253479590784"
"19","CAUCA","19318","GUAPI","2.416","-77.694","SAN ANTONIO DE GUAJUI (GUAPI - CAUCA)","15018.75","1.083333373069763","15574.326531","PALMA DE ACEITE","369.42253479590784"
"19","CAUCA","19418","LÓPEZ","3.004","-77.222","BETANIA - NAYA (LÓPEZ (MICAY) - CAUCA)","15667.7412109375","0.9333333373069761","8551.833333","PALMA DE ACEITE","369.42253479590784"
